Ir,T,Power
1197.8,18.211,3.70E+06
316.4,31.247,9.45E+05
1248,21.103,3.80E+06
203.89,27.352,5.92E+05
290.63,31.183,8.64E+05
1469,33.009,4.20E+06
355.86,33.441,1.04E+06
291.18,15.867,9.13E+05
1041.9,17.554,3.25E+06
406.98,28.177,1.22E+06
848.19,24.182,2.60E+06
826.15,26.443,2.52E+06
597.88,32.172,1.78E+06
688.08,19.608,2.14E+06
1112.6,16.871,3.47E+06
314.52,33.101,9.28E+05
903.23,28.647,2.71E+06
209.54,22.041,6.17E+05
594.65,17.301,1.89E+06
789.41,23.666,2.44E+06
425.22,18.988,1.33E+06
459.98,16.879,1.45E+06
477.43,18.929,1.50E+06
684.5,15.36,2.19E+06
368.74,20.308,1.15E+06
935.26,17.33,2.94E+06
315.24,23.419,9.55E+05
161.74,24.554,4.76E+05
1431.6,32.831,4.11E+06
1375.6,19.301,4.19E+06
975.37,15.299,3.09E+06
1197.5,15.169,3.75E+06
1443.6,21.798,4.33E+06
951.62,26.512,2.89E+06
1480.4,34.731,4.21E+06
144.51,29.382,4.15E+05
452.63,23.135,1.41E+06
1256,26.339,3.75E+06
906.61,21.083,2.81E+06
505.34,20.428,1.59E+06
1093.2,19.808,3.38E+06
883.98,21.521,2.74E+06
489.44,20.308,1.53E+06
803.46,26.358,2.45E+06
276.55,15.977,8.68E+05
1238.4,19.029,3.80E+06
1106.5,28.7,3.29E+06
329.46,31.935,9.78E+05
766.39,29.181,2.31E+06
515.93,19.538,1.62E+06
1363.5,27.401,4.02E+06
425.16,27,1.30E+06
288.04,16.074,8.99E+05
388.38,19.591,1.20E+06
996.96,19.394,3.09E+06
1036.7,28.223,3.10E+06
524.73,26.337,1.61E+06
1014.9,28.314,3.05E+06
804.81,15.629,2.55E+06
1168.7,30.737,3.44E+06
1253.5,22.657,3.79E+06
595.05,21.61,1.86E+06
1083.4,22.678,3.31E+06
143.59,24.133,4.32E+05
491.18,21.726,1.54E+06
173.06,25.8,5.07E+05
633.31,34.969,1.87E+06
841.47,32.729,2.49E+06
1241.8,21.494,3.77E+06
472.63,20.556,1.49E+06
1156.2,34.579,3.35E+06
999.44,32.045,2.94E+06
1297.3,26.177,3.86E+06
454.33,22.533,1.42E+06
863.06,15.896,2.73E+06
568.57,31.052,1.70E+06
790.99,20.176,2.46E+06
498.55,31.338,1.49E+06
927.88,22.877,2.85E+06
255.27,34.93,7.42E+05
107.42,20.03,3.09E+05
1038.5,27.424,3.12E+06
690.78,27.605,2.09E+06
155.08,23.919,4.60E+05
559.47,30.95,1.68E+06
1297.8,33.467,3.75E+06
514.32,33.052,1.53E+06
233.37,22.9,6.90E+05
1049.2,18.068,3.27E+06
191.37,17.127,5.95E+05
235.04,22.918,6.97E+05
1479.2,26.379,4.35E+06
495.18,28.372,1.51E+06
967.1,33.309,2.84E+06
390.36,16.02,1.23E+06
1084.3,18.194,3.37E+06
1039.5,16.366,3.25E+06
141.65,31.832,3.92E+05
1155.5,16.956,3.60E+06
391.88,16.739,1.23E+06
1312,15.492,4.07E+06
452.19,27.312,1.36E+06
755.74,29.767,2.28E+06
373.31,25.965,1.14E+06
742.77,34.427,2.20E+06
553.88,19.052,1.74E+06
894.19,24.663,2.73E+06
509.38,23.103,1.57E+06
803.86,30.794,2.40E+06
230.58,19.03,7.11E+05
134.68,28.627,3.80E+05
1129.5,17.989,3.51E+06
533.86,21.636,1.66E+06
361.24,28.752,1.09E+06
890.48,25.884,2.70E+06
1407,15.628,4.34E+06
1027.2,30.503,3.04E+06
1007.1,34.695,2.93E+06
1437,30.015,4.18E+06
235.51,24.381,6.90E+05
245.81,22.443,7.32E+05
197.69,33.235,5.76E+05
939.87,34.626,2.75E+06
1377.9,25.007,4.10E+06
166.28,28.882,4.93E+05
203.65,25.647,5.90E+05
983.83,31.934,2.91E+06
973.16,16.514,3.07E+06
519.65,32.665,1.55E+06
1126.8,26.813,3.37E+06
979.05,30.196,2.92E+06
446.3,19.42,1.41E+06
494.1,30.55,1.48E+06
685.36,17.167,2.18E+06
680.01,33.245,2.03E+06
889.46,30.891,2.65E+06
531.55,16.916,1.69E+06
210.94,26.185,6.10E+05
602.78,31.106,1.80E+06
165.12,27.558,4.92E+05
574.56,15.126,1.84E+06
1388.9,18.822,4.24E+06
934.27,31.069,2.78E+06
417.82,32.247,1.23E+06
1352.2,20.186,4.11E+06
1224.1,21.886,3.72E+06
300.18,30.647,9.00E+05
1333.4,31.606,3.88E+06
637.08,18.942,2.01E+06
817.08,20.556,2.55E+06
244.37,18.795,7.59E+05
281.37,19.812,8.61E+05
888.48,29.565,2.66E+06
